date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,24,0,0,0
2020-01-13,1,0,0,0
2020-01-14,11,0,0,0
2020-01-15,19,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,23,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,20,0,0,0
2020-01-28,11,0,0,0
2020-01-29,45,0,0,0
2020-01-30,22,0,0,0
2020-01-31,16,0,0,0
2020-02-01,18,0,0,0
2020-02-02,18,0,0,0
2020-02-03,23,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,32,0,0,0
2020-02-07,28,0,0,0
2020-02-08,27,0,0,0
2020-02-09,24,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,12,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,40,0,0,0
2020-02-16,36,0,0,0
2020-02-17,46,0,0,0
2020-02-18,23,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,17,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,32,0,0,0
2020-02-25,36,0,0,0
2020-02-26,29,0,0,0
2020-02-27,63,0,0,0
2020-02-28,66,0,0,0
2020-02-29,82,0,0,0
2020-03-01,149,0,0,0
2020-03-02,204,0,0,0
2020-03-03,223,0,0,0
2020-03-04,234,0,0,0
2020-03-05,244,0,0,0
2020-03-06,196,0,0,0
2020-03-07,176,0,0,0
2020-03-08,208,0,0,0
2020-03-09,374,0,0,0
2020-03-10,411,0,0,0
2020-03-11,526,0,0,0
2020-03-12,709,0,0,0
2020-03-13,807,0,0,0
2020-03-14,837,0,0,0
2020-03-15,984,0,0,0
2020-03-16,1240,0,0,0
2020-03-17,1175,0,0,0
2020-03-18,1160,0,0,0
2020-03-19,1147,0,0,0
2020-03-20,1121,0,0,0
2020-03-21,979,0,0,0
2020-03-22,851,0,0,0
2020-03-23,1654,0,0,0
2020-03-24,1766,0,0,0
2020-03-25,1635,0,0,0
2020-03-26,1680,0,0,0
2020-03-27,1684,0,0,0
2020-03-28,1364,0,0,0
2020-03-29,1257,0,0,0
2020-03-30,1797,0,0,0
2020-03-31,1870,0,0,0
2020-04-01,1890,0,0,0
2020-04-02,1579,0,0,0
2020-04-03,1669,0,0,0
2020-04-04,1240,0,0,0
2020-04-05,995,0,0,0
2020-04-06,1724,0,0,0
2020-04-07,1460,0,0,0
2020-04-08,1514,0,0,0
2020-04-09,1150,0,0,0
2020-04-10,1238,0,0,0
2020-04-11,1018,0,0,0
2020-04-12,847,0,0,0
2020-04-13,1333,0,0,0
2020-04-14,1247,0,0,0
2020-04-15,1164,0,0,0
2020-04-16,1140,0,0,0
2020-04-17,1022,0,0,0
2020-04-18,778,0,0,0
2020-04-19,655,0,0,0
2020-04-20,1128,0,0,0
2020-04-21,1077,0,0,0
2020-04-22,1101,0,0,0
2020-04-23,948,0,0,0
2020-04-24,923,0,0,0
2020-04-25,554,0,0,0
2020-04-26,472,0,0,0
2020-04-27,1052,0,0,0
2020-04-28,881,0,0,0
2020-04-29,1115,0,0,0
2020-04-30,1132,0,0,0
2020-05-01,1019,0,0,0
2020-05-02,604,0,0,0
2020-05-03,500,0,0,0
2020-05-04,1003,0,0,0
2020-05-05,936,0,0,0
2020-05-06,803,0,0,0
2020-05-07,725,0,0,0
2020-05-08,670,0,0,0
2020-05-09,508,0,0,0
2020-05-10,449,0.0022271714922048997,0.00037889879952919455,0.012054227598814414
2020-05-11,803,0,0,0
2020-05-12,776,0,0,0
2020-05-13,764,0,0,0
2020-05-14,788,0,0,0
2020-05-15,530,0,0,0
2020-05-16,297,0,0,0
2020-05-17,240,0,0,0
2020-05-18,553,0,0,0
2020-05-19,658,0,0,0
2020-05-20,496,0,0,0
2020-05-21,478,0,0,0
2020-05-22,584,0,0,0
2020-05-23,276,0,0,0
2020-05-24,273,0,0,0
2020-05-25,304,0,0,0
2020-05-26,540,0,0,0
2020-05-27,533,0,0,0
2020-05-28,353,0,0,0
2020-05-29,379,0,0,0
2020-05-30,280,0,0,0
2020-05-31,215,0,0,0
2020-06-01,515,0,0,0
2020-06-02,594,0,0,0
2020-06-03,397,0,0,0
2020-06-04,447,0,0,0
2020-06-05,398,0,0,0
2020-06-06,224,0,0,0
2020-06-07,355,0,0,0
2020-06-08,623,0,0,0
2020-06-09,533,0,0,0
2020-06-10,585,0,0,0
2020-06-11,753,0,0,0
2020-06-12,683,0,0,0
2020-06-13,644,0,0,0
2020-06-14,564,0,0,0
2020-06-15,849,0,0,0
2020-06-16,762,0,0,0
2020-06-17,664,0,0,0
2020-06-18,721,0,0,0
2020-06-19,743,0,0,0
2020-06-20,424,0,0,0
2020-06-21,479,0,0,0
2020-06-22,568,0,0,0
2020-06-23,618,0,0,0
2020-06-24,702,0,0,0
2020-06-25,573,0,0,0
2020-06-26,467,0,0,0
2020-06-27,377,0,0,0
2020-06-28,275,0,0,0
2020-06-29,592,0,0,0
2020-06-30,583,0,0,0
2020-07-01,625,0,0,0
2020-07-02,751,0,0,0
2020-07-03,521,0,0,0
2020-07-04,326,0,0,0
2020-07-05,294,0,0,0
2020-07-06,665,0,0,0
2020-07-07,728,0,0,0
2020-07-08,829,0,0,0
2020-07-09,747,0,0,0
2020-07-10,589,0,0,0
2020-07-11,409,0,0,0
2020-07-12,338,0,0,0
2020-07-13,718,0,0,0
2020-07-14,727,0,0,0
2020-07-15,923,0,0,0
2020-07-16,706,0,0,0
2020-07-17,700,0,0,0
2020-07-18,582,0,0,0
2020-07-19,439,0,0,0
2020-07-20,681,0,0,0
2020-07-21,778,0,0,0
2020-07-22,645,0,0,0
2020-07-23,820,0,0,0
2020-07-24,665,0,0,0
2020-07-25,470,0,0,0
2020-07-26,325,0,0,0
2020-07-27,831,0,0,0
2020-07-28,682,0,0,0
2020-07-29,678,0,0,0
2020-07-30,621,0,0,0
2020-07-31,577,0,0,0
2020-08-01,539,0,0,0
2020-08-02,438,0,0,0
2020-08-03,912,0,0,0
2020-08-04,756,0,0,0
2020-08-05,592,0,0,0
2020-08-06,702,0,0,0
2020-08-07,568,0,0,0
2020-08-08,401,0,0,0
2020-08-09,449,0,0,0
2020-08-10,801,0,0,0
2020-08-11,762,0,0,0
2020-08-12,690,0,0,0
2020-08-13,781,0,0,0
2020-08-14,707,0,0,0
2020-08-15,413,0,0,0
2020-08-16,368,0,0,0
2020-08-17,868,0,0,0
2020-08-18,788,0,0,0
2020-08-19,769,0,0,0
2020-08-20,942,0,0,0
2020-08-21,769,0,0,0
2020-08-22,362,0,0,0
2020-08-23,358,0,0,0
2020-08-24,677,0,0,0
2020-08-25,730,0,0,0
2020-08-26,989,0,0,0
2020-08-27,913,0,0,0
2020-08-28,744,0,0,0
2020-08-29,535,0,0,0
2020-08-30,651,0,0,0
2020-08-31,1039,0,0,0
2020-09-01,943,0,0,0
2020-09-02,767,0,0,0
2020-09-03,949,0,0,0
2020-09-04,808,0,0,0
2020-09-05,436,0,0,0
2020-09-06,320,0,0,0
2020-09-07,889,0,0,0
2020-09-08,836,0,0,0
2020-09-09,1381,0,0,0
2020-09-10,1666,0,0,0
2020-09-11,892,0,0,0
2020-09-12,389,0,0,0
2020-09-13,363,0,0,0
2020-09-14,840,0,0,0
2020-09-15,834,0,0,0
2020-09-16,2017,0,0,0
2020-09-17,982,0,0,0
2020-09-18,1253,0,0,0
2020-09-19,799,0,0,0
2020-09-20,689,0,0,0
2020-09-21,1475,0,0,0
2020-09-22,1047,0,0,0
2020-09-23,1344,0,0,0
2020-09-24,2627,0,0,0
2020-09-25,1143,0,0,0
2020-09-26,493,0,0,0
2020-09-27,1076,0,0,0
2020-09-28,809,0,0,0
2020-09-29,1260,0,0,0
2020-09-30,1127,0,0,0
2020-10-01,2139,0,0,0
2020-10-02,1445,0,0,0
2020-10-03,1249,0,0,0
2020-10-04,684,0,0,0
2020-10-05,2260,0,0,0
2020-10-06,1985,0,0,0
2020-10-07,2007,0.0004982561036372695,8.678994000763197e-05,0.00277977240713456
2020-10-08,1856,0,0,0
2020-10-09,1564,0,0,0
2020-10-10,827,0,0,0
2020-10-11,1008,0,0,0
2020-10-12,2134,0,0,0
2020-10-13,1584,0,0,0
2020-10-14,1950,0,0,0
2020-10-15,2526,0,0,0
2020-10-16,1508,0,0,0
2020-10-17,1239,0,0,0
2020-10-18,761,0,0,0
2020-10-19,1917,0,0,0
2020-10-20,2142,0,0,0
2020-10-21,2488,0,0,0
2020-10-22,2002,0,0,0
2020-10-23,1485,0,0,0
2020-10-24,1544,0,0,0
2020-10-25,811,0,0,0
2020-10-26,2668,0,0,0
2020-10-27,1748,0,0,0
2020-10-28,1369,0,0,0
2020-10-29,2092,0,0,0
2020-10-30,2196,0,0,0
2020-10-31,1021,0,0,0
2020-11-01,2499,0,0,0
2020-11-02,3681,0,0,0
2020-11-03,2205,0,0,0
2020-11-04,3278,0,0,0
2020-11-05,2967,0,0,0
2020-11-06,2300,0,0,0
2020-11-07,1755,0,0,0
2020-11-08,2620,0,0,0
2020-11-09,2937,0,0,0
2020-11-10,2270,0,0,0
2020-11-11,2603,0,0,0
2020-11-12,3195,0,0,0
2020-11-13,2933,0.00034094783498124785,5.9376841806623746e-05,0.0019029714403458423
2020-11-14,2651,0,0,0
2020-11-15,1494,0,0,0
2020-11-16,1680,0,0,0
2020-11-17,2122,0,0,0
2020-11-18,2944,0,0,0
2020-11-19,1338,0,0,0
2020-11-20,1866,0,0,0
2020-11-21,1490,0,0,0
2020-11-22,1718,0,0,0
2020-11-23,2186,0,0,0
2020-11-24,1784,0,0,0
2020-11-25,1670,0,0,0
2020-11-26,1135,0,0,0
2020-11-27,1594,0,0,0
2020-11-28,894,0,0,0
2020-11-29,838,0,0,0
2020-11-30,2360,0,0,0
2020-12-01,2563,0,0,0
2020-12-02,2236,0,0,0
2020-12-03,1933,0,0,0
2020-12-04,1602,0,0,0
2020-12-05,913,0,0,0
2020-12-06,1133,0,0,0
2020-12-07,2547,0.00039261876717707107,6.797397496214526e-05,0.0021780682292228386
2020-12-08,2241,0,0,0
2020-12-09,2264,0,0,0
2020-12-10,4243,0,0,0
2020-12-11,3598,0.00027793218454697053,4.876409927331881e-05,0.0015632268884122357
2020-12-12,2065,0,0,0
2020-12-13,1960,0,0,0
2020-12-14,4013,0,0,0
2020-12-15,4232,0,0,0
2020-12-16,3612,0,0,0
2020-12-17,3281,0,0,0
2020-12-18,3315,0,0,0
2020-12-19,2595,0,0,0
2020-12-20,1989,0,0,0
2020-12-21,3239,0,0,0
2020-12-22,2793,0,0,0
2020-12-23,2337,0,0,0
2020-12-24,2078,0,0,0
2020-12-25,1073,0,0,0
2020-12-26,2812,0,0,0
2020-12-27,2433,0,0,0
