date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,25,0,0,0
2020-01-13,1,0,0,0
2020-01-14,11,0,0,0
2020-01-15,19,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,23,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,20,0,0,0
2020-01-28,11,0,0,0
2020-01-29,46,0,0,0
2020-01-30,22,0,0,0
2020-01-31,16,0,0,0
2020-02-01,18,0,0,0
2020-02-02,18,0,0,0
2020-02-03,23,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,32,0,0,0
2020-02-07,30,0,0,0
2020-02-08,27,0,0,0
2020-02-09,25,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,12,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,39,0,0,0
2020-02-16,36,0.027777777777777776,0.004920280295569678,0.14170033735030801
2020-02-17,47,0,0,0
2020-02-18,22,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,17,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,31,0,0,0
2020-02-25,34,0,0,0
2020-02-26,28,0,0,0
2020-02-27,62,0,0,0
2020-02-28,66,0,0,0
2020-02-29,81,0,0,0
2020-03-01,147,0,0,0
2020-03-02,195,0,0,0
2020-03-03,220,0,0,0
2020-03-04,229,0,0,0
2020-03-05,241,0,0,0
2020-03-06,200,0,0,0
2020-03-07,176,0,0,0
2020-03-08,209,0,0,0
2020-03-09,379,0,0,0
2020-03-10,415,0,0,0
2020-03-11,525,0,0,0
2020-03-12,717,0,0,0
2020-03-13,812,0,0,0
2020-03-14,838,0,0,0
2020-03-15,986,0,0,0
2020-03-16,1240,0,0,0
2020-03-17,1176,0,0,0
2020-03-18,1163,0,0,0
2020-03-19,1144,0,0,0
2020-03-20,1124,0,0,0
2020-03-21,981,0,0,0
2020-03-22,851,0,0,0
2020-03-23,1672,0,0,0
2020-03-24,1777,0,0,0
2020-03-25,1640,0,0,0
2020-03-26,1684,0,0,0
2020-03-27,1689,0,0,0
2020-03-28,1360,0,0,0
2020-03-29,1260,0,0,0
2020-03-30,1791,0,0,0
2020-03-31,1866,0,0,0
2020-04-01,1871,0,0,0
2020-04-02,1550,0,0,0
2020-04-03,1650,0,0,0
2020-04-04,1236,0,0,0
2020-04-05,996,0,0,0
2020-04-06,1731,0,0,0
2020-04-07,1467,0,0,0
2020-04-08,1533,0,0,0
2020-04-09,1158,0,0,0
2020-04-10,1244,0,0,0
2020-04-11,1029,0,0,0
2020-04-12,860,0,0,0
2020-04-13,1346,0,0,0
2020-04-14,1253,0,0,0
2020-04-15,1174,0,0,0
2020-04-16,1146,0,0,0
2020-04-17,1022,0,0,0
2020-04-18,782,0,0,0
2020-04-19,662,0,0,0
2020-04-20,1135,0,0,0
2020-04-21,1093,0,0,0
2020-04-22,1105,0,0,0
2020-04-23,951,0,0,0
2020-04-24,925,0,0,0
2020-04-25,564,0,0,0
2020-04-26,480,0,0,0
2020-04-27,1059,0,0,0
2020-04-28,900,0,0,0
2020-04-29,1129,0,0,0
2020-04-30,1132,0,0,0
2020-05-01,1032,0,0,0
2020-05-02,611,0,0,0
2020-05-03,510,0,0,0
2020-05-04,1008,0,0,0
2020-05-05,960,0,0,0
2020-05-06,805,0,0,0
2020-05-07,742,0,0,0
2020-05-08,679,0,0,0
2020-05-09,512,0,0,0
2020-05-10,457,0,0,0
2020-05-11,807,0,0,0
2020-05-12,780,0,0,0
2020-05-13,775,0,0,0
2020-05-14,801,0.003745318352059925,0.001258797964190546,0.010819132274029985
2020-05-15,537,0,0,0
2020-05-16,297,0,0,0
2020-05-17,258,0,0,0
2020-05-18,558,0,0,0
2020-05-19,678,0,0,0
2020-05-20,515,0,0,0
2020-05-21,488,0,0,0
2020-05-22,590,0,0,0
2020-05-23,281,0,0,0
2020-05-24,277,0,0,0
2020-05-25,311,0,0,0
2020-05-26,547,0,0,0
2020-05-27,548,0,0,0
2020-05-28,356,0,0,0
2020-05-29,388,0,0,0
2020-05-30,282,0,0,0
2020-05-31,216,0,0,0
2020-06-01,527,0,0,0
2020-06-02,602,0,0,0
2020-06-03,408,0,0,0
2020-06-04,451,0,0,0
2020-06-05,411,0,0,0
2020-06-06,224,0,0,0
2020-06-07,356,0,0,0
2020-06-08,626,0,0,0
2020-06-09,539,0,0,0
2020-06-10,600,0,0,0
2020-06-11,759,0,0,0
2020-06-12,689,0,0,0
2020-06-13,645,0,0,0
2020-06-14,566,0,0,0
2020-06-15,856,0,0,0
2020-06-16,764,0,0,0
2020-06-17,671,0,0,0
2020-06-18,726,0,0,0
2020-06-19,746,0,0,0
2020-06-20,425,0,0,0
2020-06-21,480,0,0,0
2020-06-22,568,0,0,0
2020-06-23,622,0,0,0
2020-06-24,706,0,0,0
2020-06-25,566,0,0,0
2020-06-26,472,0,0,0
2020-06-27,378,0,0,0
2020-06-28,278,0,0,0
2020-06-29,595,0,0,0
2020-06-30,587,0,0,0
2020-07-01,626,0,0,0
2020-07-02,750,0,0,0
2020-07-03,520,0,0,0
2020-07-04,326,0,0,0
2020-07-05,297,0,0,0
2020-07-06,671,0,0,0
2020-07-07,731,0,0,0
2020-07-08,825,0,0,0
2020-07-09,758,0,0,0
2020-07-10,591,0,0,0
2020-07-11,412,0,0,0
2020-07-12,333,0,0,0
2020-07-13,728,0,0,0
2020-07-14,743,0,0,0
2020-07-15,940,0,0,0
2020-07-16,717,0,0,0
2020-07-17,705,0,0,0
2020-07-18,583,0,0,0
2020-07-19,439,0,0,0
2020-07-20,692,0,0,0
2020-07-21,786,0,0,0
2020-07-22,650,0,0,0
2020-07-23,828,0,0,0
2020-07-24,670,0,0,0
2020-07-25,469,0,0,0
2020-07-26,324,0,0,0
2020-07-27,834,0,0,0
2020-07-28,689,0,0,0
2020-07-29,691,0,0,0
2020-07-30,625,0,0,0
2020-07-31,583,0,0,0
2020-08-01,541,0,0,0
2020-08-02,444,0,0,0
2020-08-03,913,0,0,0
2020-08-04,758,0,0,0
2020-08-05,605,0,0,0
2020-08-06,712,0,0,0
2020-08-07,587,0,0,0
2020-08-08,407,0,0,0
2020-08-09,450,0,0,0
2020-08-10,809,0,0,0
2020-08-11,769,0,0,0
2020-08-12,692,0,0,0
2020-08-13,788,0,0,0
2020-08-14,716,0,0,0
2020-08-15,417,0,0,0
2020-08-16,369,0,0,0
2020-08-17,868,0,0,0
2020-08-18,798,0,0,0
2020-08-19,778,0,0,0
2020-08-20,947,0,0,0
2020-08-21,774,0,0,0
2020-08-22,364,0,0,0
2020-08-23,360,0,0,0
2020-08-24,688,0,0,0
2020-08-25,736,0,0,0
2020-08-26,994,0,0,0
2020-08-27,923,0,0,0
2020-08-28,757,0,0,0
2020-08-29,544,0,0,0
2020-08-30,652,0,0,0
2020-08-31,1048,0,0,0
2020-09-01,954,0,0,0
2020-09-02,772,0,0,0
2020-09-03,955,0,0,0
2020-09-04,823,0,0,0
2020-09-05,438,0,0,0
2020-09-06,318,0,0,0
2020-09-07,897,0,0,0
2020-09-08,842,0,0,0
2020-09-09,1388,0,0,0
2020-09-10,1678,0,0,0
2020-09-11,902,0,0,0
2020-09-12,392,0,0,0
2020-09-13,368,0,0,0
2020-09-14,848,0,0,0
2020-09-15,845,0,0,0
2020-09-16,2039,0,0,0
2020-09-17,989,0,0,0
2020-09-18,1269,0,0,0
2020-09-19,810,0.0012345679012345679,0.00021742226764863448,0.006942791185551104
2020-09-20,692,0,0,0
2020-09-21,1485,0,0,0
2020-09-22,1058,0,0,0
2020-09-23,1355,0.0007380073800738007,0.00012923571231976833,0.004135198949322863
2020-09-24,2634,0,0,0
2020-09-25,1152,0.0008680555555555555,0.00015245151291653952,0.004875428363307553
2020-09-26,501,0,0,0
2020-09-27,1082,0,0,0
2020-09-28,827,0,0,0
2020-09-29,1281,0.00078064012490242,0.00013642725790178383,0.004364584267695792
2020-09-30,1144,0,0,0
2020-10-01,2150,0.00046511627906976747,8.16512964901204e-05,0.0026154988552107247
2020-10-02,1457,0,0,0
2020-10-03,1278,0,0,0
2020-10-04,692,0,0,0
2020-10-05,2296,0,0,0
2020-10-06,2006,0,0,0
2020-10-07,2023,0,0,0
2020-10-08,1897,0,0,0
2020-10-09,1599,0,0,0
2020-10-10,830,0,0,0
2020-10-11,1020,0,0,0
2020-10-12,2153,0.00046446818392940084,8.12005737431738e-05,0.00260108816571336
2020-10-13,1612,0.0006203473945409429,0.00010673107743381218,0.003416886619214649
2020-10-14,1967,0,0,0
2020-10-15,2541,0,0,0
2020-10-16,1535,0,0,0
2020-10-17,1250,0,0,0
2020-10-18,763,0,0,0
2020-10-19,1942,0,0,0
2020-10-20,2161,0,0,0
2020-10-21,2509,0,0,0
2020-10-22,2024,0,0,0
2020-10-23,1524,0,0,0
2020-10-24,1561,0,0,0
2020-10-25,836,0,0,0
2020-10-26,2681,0,0,0
2020-10-27,1782,0,0,0
2020-10-28,1413,0,0,0
2020-10-29,2140,0,0,0
2020-10-30,2223,0,0,0
2020-10-31,1032,0,0,0
2020-11-01,2553,0,0,0
2020-11-02,3715,0,0,0
2020-11-03,2226,0,0,0
2020-11-04,3309,0,0,0
2020-11-05,2986,0,0,0
2020-11-06,2321,0,0,0
2020-11-07,1778,0,0,0
2020-11-08,2638,0,0,0
2020-11-09,2984,0,0,0
2020-11-10,2284,0,0,0
2020-11-11,2613,0.001148105625717566,0.00038741342031116887,0.003343515684757157
2020-11-12,3250,0,0,0
2020-11-13,2967,0,0,0
2020-11-14,2684,0,0,0
2020-11-15,1505,0,0,0
2020-11-16,1720,0,0,0
2020-11-17,2141,0,0,0
2020-11-18,2954,0,0,0
2020-11-19,1379,0,0,0
2020-11-20,1899,0,0,0
2020-11-21,1508,0,0,0
2020-11-22,1728,0,0,0
2020-11-23,2172,0,0,0
2020-11-24,1805,0,0,0
2020-11-25,1682,0,0,0
2020-11-26,1142,0,0,0
2020-11-27,1605,0,0,0
2020-11-28,918,0,0,0
2020-11-29,853,0,0,0
2020-11-30,2417,0,0,0
2020-12-01,2598,0,0,0
2020-12-02,2256,0,0,0
2020-12-03,1959,0,0,0
2020-12-04,1622,0,0,0
2020-12-05,930,0,0,0
2020-12-06,1139,0,0,0
2020-12-07,2582,0,0,0
2020-12-08,2259,0,0,0
2020-12-09,2266,0,0,0
2020-12-10,4260,0,0,0
2020-12-11,3600,0,0,0
2020-12-12,2072,0,0,0
2020-12-13,1973,0,0,0
2020-12-14,4037,0,0,0
2020-12-15,4265,0,0,0
2020-12-16,3644,0,0,0
2020-12-17,3290,0,0,0
2020-12-18,3346,0,0,0
2020-12-19,2623,0,0,0
2020-12-20,2026,0,0,0
