date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0.07142857142857142,0.012721886112291648,0.3146926955395781
2020-01-11,1,0,0,0
2020-01-12,5,0,0,0
2020-01-13,1,0,0,0
2020-01-14,2,0,0,0
2020-01-15,5,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,10,0,0,0
2020-01-20,5,0.2,0.036223160969787456,0.6244717358814612
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,11,0,0,0
2020-01-24,8,0,0,0
2020-01-25,23,0,0,0
2020-01-26,16,0,0,0
2020-01-27,19,0,0,0
2020-01-28,11,0,0,0
2020-01-29,45,0,0,0
2020-01-30,20,0,0,0
2020-01-31,12,0,0,0
2020-02-01,16,0,0,0
2020-02-02,17,0,0,0
2020-02-03,21,0,0,0
2020-02-04,9,0,0,0
2020-02-05,14,0,0,0
2020-02-06,31,0,0,0
2020-02-07,28,0,0,0
2020-02-08,24,0,0,0
2020-02-09,19,0,0,0
2020-02-10,20,0,0,0
2020-02-11,21,0,0,0
2020-02-12,11,0,0,0
2020-02-13,14,0,0,0
2020-02-14,9,0,0,0
2020-02-15,39,0,0,0
2020-02-16,36,0,0,0
2020-02-17,45,0,0,0
2020-02-18,22,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,16,0,0,0
2020-02-22,10,0,0,0
2020-02-23,11,0,0,0
2020-02-24,28,0,0,0
2020-02-25,33,0,0,0
2020-02-26,24,0,0,0
2020-02-27,58,0,0,0
2020-02-28,62,0,0,0
2020-02-29,83,0,0,0
2020-03-01,144,0,0,0
2020-03-02,191,0,0,0
2020-03-03,213,0,0,0
2020-03-04,218,0,0,0
2020-03-05,228,0,0,0
2020-03-06,202,0,0,0
2020-03-07,173,0,0,0
2020-03-08,209,0,0,0
2020-03-09,364,0,0,0
2020-03-10,400,0,0,0
2020-03-11,506,0,0,0
2020-03-12,692,0,0,0
2020-03-13,793,0,0,0
2020-03-14,820,0,0,0
2020-03-15,962,0,0,0
2020-03-16,1218,0,0,0
2020-03-17,1147,0,0,0
2020-03-18,1125,0,0,0
2020-03-19,1101,0,0,0
2020-03-20,1093,0,0,0
2020-03-21,952,0,0,0
2020-03-22,823,0,0,0
2020-03-23,1625,0,0,0
2020-03-24,1700,0,0,0
2020-03-25,1572,0,0,0
2020-03-26,1616,0,0,0
2020-03-27,1635,0,0,0
2020-03-28,1321,0,0,0
2020-03-29,1201,0,0,0
2020-03-30,1747,0,0,0
2020-03-31,1793,0,0,0
2020-04-01,1770,0,0,0
2020-04-02,1492,0,0,0
2020-04-03,1580,0,0,0
2020-04-04,1183,0,0,0
2020-04-05,960,0,0,0
2020-04-06,1638,0,0,0
2020-04-07,1424,0,0,0
2020-04-08,1468,0,0,0
2020-04-09,1094,0,0,0
2020-04-10,1161,0,0,0
2020-04-11,977,0,0,0
2020-04-12,814,0,0,0
2020-04-13,1289,0,0,0
2020-04-14,1211,0,0,0
2020-04-15,1120,0,0,0
2020-04-16,1074,0,0,0
2020-04-17,965,0,0,0
2020-04-18,753,0,0,0
2020-04-19,632,0,0,0
2020-04-20,1087,0,0,0
2020-04-21,1045,0,0,0
2020-04-22,1053,0,0,0
2020-04-23,913,0,0,0
2020-04-24,892,0,0,0
2020-04-25,539,0,0,0
2020-04-26,458,0,0,0
2020-04-27,1012,0,0,0
2020-04-28,870,0,0,0
2020-04-29,1097,0,0,0
2020-04-30,1071,0,0,0
2020-05-01,972,0,0,0
2020-05-02,577,0,0,0
2020-05-03,475,0,0,0
2020-05-04,974,0,0,0
2020-05-05,894,0,0,0
2020-05-06,792,0,0,0
2020-05-07,697,0,0,0
2020-05-08,623,0,0,0
2020-05-09,477,0,0,0
2020-05-10,430,0,0,0
2020-05-11,763,0,0,0
2020-05-12,719,0,0,0
2020-05-13,697,0,0,0
2020-05-14,745,0,0,0
2020-05-15,489,0,0,0
2020-05-16,286,0,0,0
2020-05-17,231,0,0,0
2020-05-18,552,0,0,0
2020-05-19,655,0,0,0
2020-05-20,485,0,0,0
2020-05-21,441,0,0,0
2020-05-22,576,0,0,0
2020-05-23,263,0,0,0
2020-05-24,265,0,0,0
2020-05-25,286,0,0,0
2020-05-26,498,0,0,0
2020-05-27,503,0,0,0
2020-05-28,320,0,0,0
2020-05-29,337,0,0,0
2020-05-30,273,0,0,0
2020-05-31,211,0,0,0
2020-06-01,482,0,0,0
2020-06-02,578,0,0,0
2020-06-03,380,0,0,0
2020-06-04,428,0,0,0
2020-06-05,385,0,0,0
2020-06-06,220,0,0,0
2020-06-07,352,0,0,0
2020-06-08,614,0,0,0
2020-06-09,525,0,0,0
2020-06-10,573,0,0,0
2020-06-11,736,0,0,0
2020-06-12,672,0,0,0
2020-06-13,632,0,0,0
2020-06-14,553,0,0,0
2020-06-15,823,0,0,0
2020-06-16,732,0,0,0
2020-06-17,648,0,0,0
2020-06-18,706,0,0,0
2020-06-19,707,0,0,0
2020-06-20,403,0,0,0
2020-06-21,462,0,0,0
2020-06-22,542,0,0,0
2020-06-23,603,0,0,0
2020-06-24,688,0,0,0
2020-06-25,550,0,0,0
2020-06-26,458,0,0,0
2020-06-27,364,0,0,0
2020-06-28,268,0,0,0
2020-06-29,577,0,0,0
2020-06-30,545,0,0,0
2020-07-01,601,0,0,0
2020-07-02,723,0,0,0
2020-07-03,510,0,0,0
2020-07-04,324,0,0,0
2020-07-05,289,0,0,0
2020-07-06,630,0,0,0
2020-07-07,673,0,0,0
2020-07-08,766,0,0,0
2020-07-09,710,0,0,0
2020-07-10,545,0,0,0
2020-07-11,395,0,0,0
2020-07-12,326,0,0,0
2020-07-13,665,0,0,0
2020-07-14,700,0,0,0
2020-07-15,876,0,0,0
2020-07-16,669,0,0,0
2020-07-17,658,0,0,0
2020-07-18,557,0,0,0
2020-07-19,414,0,0,0
2020-07-20,621,0,0,0
2020-07-21,698,0,0,0
2020-07-22,593,0,0,0
2020-07-23,762,0,0,0
2020-07-24,638,0,0,0
2020-07-25,451,0,0,0
2020-07-26,312,0,0,0
2020-07-27,806,0,0,0
2020-07-28,642,0,0,0
2020-07-29,623,0,0,0
2020-07-30,575,0,0,0
2020-07-31,542,0,0,0
2020-08-01,491,0,0,0
2020-08-02,400,0,0,0
2020-08-03,856,0,0,0
2020-08-04,694,0,0,0
2020-08-05,552,0,0,0
2020-08-06,638,0,0,0
2020-08-07,503,0,0,0
2020-08-08,370,0,0,0
2020-08-09,415,0,0,0
2020-08-10,751,0,0,0
2020-08-11,715,0,0,0
2020-08-12,657,0,0,0
2020-08-13,736,0,0,0
2020-08-14,658,0,0,0
2020-08-15,382,0,0,0
2020-08-16,347,0,0,0
2020-08-17,815,0,0,0
2020-08-18,730,0,0,0
2020-08-19,704,0,0,0
2020-08-20,890,0,0,0
2020-08-21,728,0,0,0
2020-08-22,335,0,0,0
2020-08-23,324,0,0,0
2020-08-24,614,0,0,0
2020-08-25,677,0,0,0
2020-08-26,910,0,0,0
2020-08-27,851,0,0,0
2020-08-28,715,0,0,0
2020-08-29,508,0,0,0
2020-08-30,627,0,0,0
2020-08-31,998,0,0,0
2020-09-01,908,0,0,0
2020-09-02,734,0,0,0
2020-09-03,923,0,0,0
2020-09-04,763,0,0,0
2020-09-05,421,0,0,0
2020-09-06,301,0,0,0
2020-09-07,856,0,0,0
2020-09-08,797,0,0,0
2020-09-09,1352,0,0,0
2020-09-10,1635,0,0,0
2020-09-11,861,0,0,0
2020-09-12,373,0,0,0
2020-09-13,346,0,0,0
2020-09-14,802,0,0,0
2020-09-15,796,0,0,0
2020-09-16,1839,0,0,0
2020-09-17,932,0,0,0
2020-09-18,1209,0,0,0
2020-09-19,767,0,0,0
2020-09-20,657,0,0,0
2020-09-21,1457,0,0,0
2020-09-22,989,0,0,0
2020-09-23,1279,0,0,0
2020-09-24,2546,0,0,0
2020-09-25,1104,0,0,0
2020-09-26,477,0,0,0
2020-09-27,1050,0,0,0
2020-09-28,762,0,0,0
2020-09-29,1181,0,0,0
2020-09-30,1089,0,0,0
2020-10-01,2072,0,0,0
2020-10-02,1377,0,0,0
2020-10-03,1176,0,0,0
2020-10-04,634,0,0,0
2020-10-05,2148,0,0,0
2020-10-06,1909,0,0,0
2020-10-07,1897,0,0,0
2020-10-08,1701,0,0,0
2020-10-09,1439,0,0,0
2020-10-10,769,0,0,0
2020-10-11,970,0,0,0
2020-10-12,2027,0,0,0
2020-10-13,1466,0,0,0
2020-10-14,1789,0,0,0
2020-10-15,2400,0,0,0
2020-10-16,1403,0,0,0
2020-10-17,1176,0,0,0
2020-10-18,714,0,0,0
2020-10-19,1778,0,0,0
2020-10-20,2016,0,0,0
2020-10-21,2399,0,0,0
2020-10-22,1913,0,0,0
2020-10-23,1384,0,0,0
2020-10-24,1388,0,0,0
2020-10-25,772,0,0,0
2020-10-26,2529,0,0,0
2020-10-27,1603,0,0,0
2020-10-28,1252,0,0,0
2020-10-29,1874,0,0,0
2020-10-30,2040,0,0,0
2020-10-31,987,0,0,0
2020-11-01,2490,0,0,0
2020-11-02,3540,0,0,0
2020-11-03,2024,0,0,0
2020-11-04,3087,0,0,0
2020-11-05,2743,0,0,0
2020-11-06,2157,0,0,0
2020-11-07,1701,0,0,0
2020-11-08,2553,0,0,0
2020-11-09,2777,0,0,0
2020-11-10,2151,0.00046490004649000463,7.661869841839593e-05,0.002454577550058969
2020-11-11,2514,0,0,0
2020-11-12,3059,0,0,0
2020-11-13,2827,0,0,0
2020-11-14,2584,0,0,0
2020-11-15,1425,0,0,0
2020-11-16,1594,0,0,0
2020-11-17,1988,0,0,0
2020-11-18,2850,0,0,0
2020-11-19,1255,0,0,0
2020-11-20,1776,0,0,0
2020-11-21,1415,0,0,0
2020-11-22,1697,0,0,0
2020-11-23,2058,0,0,0
2020-11-24,1648,0,0,0
2020-11-25,1569,0,0,0
2020-11-26,1104,0,0,0
2020-11-27,1543,0,0,0
2020-11-28,865,0,0,0
2020-11-29,792,0,0,0
2020-11-30,2128,0,0,0
2020-12-01,2439,0,0,0
2020-12-02,2093,0,0,0
2020-12-03,1735,0,0,0
2020-12-04,1530,0,0,0
2020-12-05,846,0,0,0
2020-12-06,1069,0,0,0
2020-12-07,2308,0,0,0
2020-12-08,2074,0,0,0
2020-12-09,2166,0,0,0
2020-12-10,4132,0,0,0
2020-12-11,3455,0.0002894356005788712,4.876409927331881e-05,0.0015632268884122357
2020-12-12,1986,0,0,0
2020-12-13,1911,0,0,0
2020-12-14,3799,0,0,0
2020-12-15,4013,0,0,0
2020-12-16,3444,0,0,0
2020-12-17,3143,0,0,0
2020-12-18,3150,0,0,0
2020-12-19,2482,0.00040290088638195,6.69428462521326e-05,0.002145079260639852
2020-12-20,1852,0,0,0
2020-12-21,3052,0,0,0
2020-12-22,2588,0,0,0
2020-12-23,2247,0,0,0
2020-12-24,1988,0,0,0
2020-12-25,1031,0,0,0
2020-12-26,3044,0,0,0
2020-12-27,2571,0,0,0
2020-12-28,3124,0,0,0
