date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,2,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,24,0,0,0
2020-01-13,1,0,0,0
2020-01-14,11,0,0,0
2020-01-15,19,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,23,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,19,0,0,0
2020-01-28,11,0,0,0
2020-01-29,46,0,0,0
2020-01-30,22,0,0,0
2020-01-31,16,0,0,0
2020-02-01,17,0,0,0
2020-02-02,18,0,0,0
2020-02-03,22,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,33,0,0,0
2020-02-07,29,0,0,0
2020-02-08,27,0,0,0
2020-02-09,25,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,11,0,0,0
2020-02-13,15,0,0,0
2020-02-14,9,0,0,0
2020-02-15,40,0,0,0
2020-02-16,36,0,0,0
2020-02-17,47,0,0,0
2020-02-18,23,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,17,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,31,0,0,0
2020-02-25,36,0,0,0
2020-02-26,29,0,0,0
2020-02-27,63,0,0,0
2020-02-28,66,0,0,0
2020-02-29,82,0,0,0
2020-03-01,148,0,0,0
2020-03-02,201,0,0,0
2020-03-03,223,0,0,0
2020-03-04,232,0,0,0
2020-03-05,244,0,0,0
2020-03-06,194,0,0,0
2020-03-07,177,0,0,0
2020-03-08,208,0,0,0
2020-03-09,375,0,0,0
2020-03-10,414,0,0,0
2020-03-11,528,0,0,0
2020-03-12,717,0,0,0
2020-03-13,816,0,0,0
2020-03-14,837,0,0,0
2020-03-15,985,0,0,0
2020-03-16,1239,0,0,0
2020-03-17,1173,0,0,0
2020-03-18,1162,0,0,0
2020-03-19,1146,0,0,0
2020-03-20,1125,0,0,0
2020-03-21,980,0,0,0
2020-03-22,852,0,0,0
2020-03-23,1659,0,0,0
2020-03-24,1776,0,0,0
2020-03-25,1635,0,0,0
2020-03-26,1685,0,0,0
2020-03-27,1690,0,0,0
2020-03-28,1365,0,0,0
2020-03-29,1259,0,0,0
2020-03-30,1800,0,0,0
2020-03-31,1879,0,0,0
2020-04-01,1905,0,0,0
2020-04-02,1583,0,0,0
2020-04-03,1674,0,0,0
2020-04-04,1236,0,0,0
2020-04-05,994,0,0,0
2020-04-06,1724,0,0,0
2020-04-07,1463,0,0,0
2020-04-08,1530,0,0,0
2020-04-09,1157,0,0,0
2020-04-10,1238,0,0,0
2020-04-11,1031,0,0,0
2020-04-12,859,0,0,0
2020-04-13,1348,0,0,0
2020-04-14,1242,0,0,0
2020-04-15,1162,0,0,0
2020-04-16,1132,0,0,0
2020-04-17,1021,0,0,0
2020-04-18,780,0,0,0
2020-04-19,661,0,0,0
2020-04-20,1128,0,0,0
2020-04-21,1085,0,0,0
2020-04-22,1097,0,0,0
2020-04-23,946,0,0,0
2020-04-24,927,0,0,0
2020-04-25,562,0,0,0
2020-04-26,479,0,0,0
2020-04-27,1050,0,0,0
2020-04-28,902,0,0,0
2020-04-29,1127,0,0,0
2020-04-30,1126,0,0,0
2020-05-01,1021,0,0,0
2020-05-02,605,0,0,0
2020-05-03,510,0,0,0
2020-05-04,1007,0,0,0
2020-05-05,955,0,0,0
2020-05-06,809,0,0,0
2020-05-07,739,0,0,0
2020-05-08,678,0,0,0
2020-05-09,513,0,0,0
2020-05-10,460,0,0,0
2020-05-11,809,0,0,0
2020-05-12,778,0,0,0
2020-05-13,776,0,0,0
2020-05-14,801,0,0,0
2020-05-15,534,0,0,0
2020-05-16,300,0,0,0
2020-05-17,252,0,0,0
2020-05-18,558,0,0,0
2020-05-19,681,0,0,0
2020-05-20,512,0,0,0
2020-05-21,487,0,0,0
2020-05-22,601,0,0,0
2020-05-23,279,0,0,0
2020-05-24,276,0,0,0
2020-05-25,309,0,0,0
2020-05-26,539,0,0,0
2020-05-27,543,0,0,0
2020-05-28,359,0,0,0
2020-05-29,386,0,0,0
2020-05-30,280,0,0,0
2020-05-31,217,0,0,0
2020-06-01,527,0,0,0
2020-06-02,603,0,0,0
2020-06-03,406,0,0,0
2020-06-04,453,0,0,0
2020-06-05,414,0,0,0
2020-06-06,223,0,0,0
2020-06-07,355,0,0,0
2020-06-08,627,0,0,0
2020-06-09,541,0,0,0
2020-06-10,600,0,0,0
2020-06-11,757,0,0,0
2020-06-12,687,0,0,0
2020-06-13,644,0,0,0
2020-06-14,565,0,0,0
2020-06-15,855,0,0,0
2020-06-16,754,0,0,0
2020-06-17,671,0,0,0
2020-06-18,729,0,0,0
2020-06-19,747,0,0,0
2020-06-20,425,0,0,0
2020-06-21,482,0,0,0
2020-06-22,572,0,0,0
2020-06-23,623,0,0,0
2020-06-24,707,0,0,0
2020-06-25,574,0,0,0
2020-06-26,473,0,0,0
2020-06-27,377,0,0,0
2020-06-28,280,0,0,0
2020-06-29,597,0,0,0
2020-06-30,588,0,0,0
2020-07-01,629,0,0,0
2020-07-02,751,0,0,0
2020-07-03,520,0,0,0
2020-07-04,327,0,0,0
2020-07-05,297,0,0,0
2020-07-06,675,0,0,0
2020-07-07,736,0,0,0
2020-07-08,836,0,0,0
2020-07-09,759,0,0,0
2020-07-10,600,0,0,0
2020-07-11,415,0,0,0
2020-07-12,338,0,0,0
2020-07-13,728,0,0,0
2020-07-14,743,0,0,0
2020-07-15,940,0,0,0
2020-07-16,717,0,0,0
2020-07-17,705,0,0,0
2020-07-18,584,0,0,0
2020-07-19,440,0,0,0
2020-07-20,691,0,0,0
2020-07-21,789,0,0,0
2020-07-22,648,0,0,0
2020-07-23,829,0,0,0
2020-07-24,672,0,0,0
2020-07-25,469,0,0,0
2020-07-26,324,0,0,0
2020-07-27,828,0,0,0
2020-07-28,685,0,0,0
2020-07-29,688,0,0,0
2020-07-30,623,0,0,0
2020-07-31,581,0,0,0
2020-08-01,538,0,0,0
2020-08-02,438,0,0,0
2020-08-03,911,0,0,0
2020-08-04,761,0,0,0
2020-08-05,600,0,0,0
2020-08-06,713,0,0,0
2020-08-07,583,0,0,0
2020-08-08,406,0,0,0
2020-08-09,447,0,0,0
2020-08-10,806,0,0,0
2020-08-11,768,0,0,0
2020-08-12,693,0,0,0
2020-08-13,786,0,0,0
2020-08-14,716,0,0,0
2020-08-15,415,0,0,0
2020-08-16,369,0,0,0
2020-08-17,862,0,0,0
2020-08-18,795,0,0,0
2020-08-19,775,0,0,0
2020-08-20,946,0,0,0
2020-08-21,770,0,0,0
2020-08-22,362,0,0,0
2020-08-23,359,0,0,0
2020-08-24,682,0,0,0
2020-08-25,737,0,0,0
2020-08-26,985,0,0,0
2020-08-27,921,0,0,0
2020-08-28,758,0,0,0
2020-08-29,543,0,0,0
2020-08-30,650,0,0,0
2020-08-31,1048,0,0,0
2020-09-01,950,0,0,0
2020-09-02,775,0,0,0
2020-09-03,953,0,0,0
2020-09-04,817,0,0,0
2020-09-05,436,0,0,0
2020-09-06,318,0,0,0
2020-09-07,893,0,0,0
2020-09-08,840,0,0,0
2020-09-09,1383,0,0,0
2020-09-10,1671,0,0,0
2020-09-11,899,0,0,0
2020-09-12,389,0,0,0
2020-09-13,365,0,0,0
2020-09-14,842,0,0,0
2020-09-15,845,0,0,0
2020-09-16,2030,0,0,0
2020-09-17,989,0,0,0
2020-09-18,1270,0,0,0
2020-09-19,809,0,0,0
2020-09-20,688,0,0,0
2020-09-21,1485,0,0,0
2020-09-22,1043,0,0,0
2020-09-23,1353,0,0,0
2020-09-24,2637,0,0,0
2020-09-25,1147,0,0,0
2020-09-26,499,0,0,0
2020-09-27,1076,0,0,0
2020-09-28,826,0,0,0
2020-09-29,1261,0,0,0
2020-09-30,1142,0,0,0
2020-10-01,2137,0,0,0
2020-10-02,1445,0,0,0
2020-10-03,1262,0,0,0
2020-10-04,689,0,0,0
2020-10-05,2286,0,0,0
2020-10-06,1998,0,0,0
2020-10-07,2017,0,0,0
2020-10-08,1876,0,0,0
2020-10-09,1588,0,0,0
2020-10-10,834,0,0,0
2020-10-11,1019,0,0,0
2020-10-12,2147,0,0,0
2020-10-13,1615,0,0,0
2020-10-14,1961,0,0,0
2020-10-15,2530,0,0,0
2020-10-16,1521,0,0,0
2020-10-17,1244,0,0,0
2020-10-18,759,0,0,0
2020-10-19,1926,0,0,0
2020-10-20,2137,0,0,0
2020-10-21,2499,0,0,0
2020-10-22,2017,0,0,0
2020-10-23,1511,0,0,0
2020-10-24,1552,0,0,0
2020-10-25,831,0,0,0
2020-10-26,2681,0,0,0
2020-10-27,1761,0,0,0
2020-10-28,1397,0,0,0
2020-10-29,2134,0,0,0
2020-10-30,2212,0,0,0
2020-10-31,1028,0,0,0
2020-11-01,2545,0,0,0
2020-11-02,3697,0,0,0
2020-11-03,2216,0,0,0
2020-11-04,3286,0,0,0
2020-11-05,2968,0,0,0
2020-11-06,2308,0,0,0
2020-11-07,1774,0,0,0
2020-11-08,2633,0,0,0
2020-11-09,2978,0,0,0
2020-11-10,2277,0,0,0
2020-11-11,2596,0,0,0
2020-11-12,3244,0,0,0
2020-11-13,2945,0,0,0
2020-11-14,2657,0,0,0
2020-11-15,1502,0,0,0
2020-11-16,1714,0,0,0
2020-11-17,2134,0,0,0
2020-11-18,2946,0,0,0
2020-11-19,1361,0,0,0
2020-11-20,1875,0,0,0
2020-11-21,1484,0,0,0
2020-11-22,1708,0,0,0
2020-11-23,2185,0,0,0
2020-11-24,1788,0,0,0
2020-11-25,1674,0,0,0
2020-11-26,1126,0,0,0
2020-11-27,1579,0,0,0
2020-11-28,904,0,0,0
2020-11-29,845,0,0,0
2020-11-30,2378,0,0,0
2020-12-01,2569,0,0,0
2020-12-02,2223,0,0,0
2020-12-03,1933,0,0,0
2020-12-04,1616,0,0,0
2020-12-05,912,0,0,0
2020-12-06,1118,0,0,0
2020-12-07,2577,0,0,0
2020-12-08,2255,0,0,0
2020-12-09,2262,0,0,0
2020-12-10,4244,0,0,0
2020-12-11,3607,0,0,0
2020-12-12,2067,0,0,0
2020-12-13,1963,0,0,0
2020-12-14,4018,0,0,0
2020-12-15,4242,0,0,0
2020-12-16,3618,0,0,0
2020-12-17,3280,0,0,0
2020-12-18,3334,0,0,0
2020-12-19,2617,0,0,0
2020-12-20,2020,0,0,0
2020-12-21,3273,0,0,0
2020-12-22,2831,0,0,0
2020-12-23,2384,0,0,0
2020-12-24,2168,0,0,0
2020-12-25,1094,0,0,0
2020-12-26,3130,0,0,0
2020-12-27,2690,0,0,0
2020-12-28,3325,0,0,0
2020-12-29,4065,0,0,0
2020-12-30,3154,0,0,0
2020-12-31,2773,0,0,0
2021-01-01,1927,0,0,0
2021-01-02,3733,0,0,0
2021-01-03,3064,0,0,0
