date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,1,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,1,0,0,0
2020-01-13,1,0,0,0
2020-01-14,1,0,0,0
2020-01-15,0,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,9,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,19,0,0,0
2020-01-28,11,0,0,0
2020-01-29,46,0,0,0
2020-01-30,21,0,0,0
2020-01-31,15,0,0,0
2020-02-01,18,0,0,0
2020-02-02,18,0,0,0
2020-02-03,23,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,33,0,0,0
2020-02-07,30,0,0,0
2020-02-08,27,0,0,0
2020-02-09,25,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,11,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,39,0,0,0
2020-02-16,36,0,0,0
2020-02-17,47,0,0,0
2020-02-18,23,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,16,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,30,0,0,0
2020-02-25,35,0,0,0
2020-02-26,28,0,0,0
2020-02-27,62,0,0,0
2020-02-28,67,0,0,0
2020-02-29,83,0,0,0
2020-03-01,146,0,0,0
2020-03-02,193,0,0,0
2020-03-03,217,0,0,0
2020-03-04,227,0,0,0
2020-03-05,228,0,0,0
2020-03-06,206,0,0,0
2020-03-07,171,0,0,0
2020-03-08,203,0,0,0
2020-03-09,381,0,0,0
2020-03-10,421,0,0,0
2020-03-11,519,0,0,0
2020-03-12,716,0,0,0
2020-03-13,801,0,0,0
2020-03-14,836,0,0,0
2020-03-15,982,0.0010183299389002036,0.00017850563372127492,0.005705212373259899
2020-03-16,1239,0,0,0
2020-03-17,1165,0,0,0
2020-03-18,1159,0,0,0
2020-03-19,1133,0,0,0
2020-03-20,1110,0,0,0
2020-03-21,974,0,0,0
2020-03-22,853,0,0,0
2020-03-23,1652,0,0,0
2020-03-24,1780,0,0,0
2020-03-25,1627,0,0,0
2020-03-26,1675,0,0,0
2020-03-27,1674,0,0,0
2020-03-28,1350,0,0,0
2020-03-29,1247,0,0,0
2020-03-30,1789,0,0,0
2020-03-31,1876,0,0,0
2020-04-01,1874,0,0,0
2020-04-02,1570,0,0,0
2020-04-03,1664,0,0,0
2020-04-04,1244,0,0,0
2020-04-05,996,0,0,0
2020-04-06,1725,0,0,0
2020-04-07,1479,0,0,0
2020-04-08,1535,0,0,0
2020-04-09,1145,0,0,0
2020-04-10,1228,0,0,0
2020-04-11,1020,0.000980392156862745,0.00016845499014112746,0.005385232941577869
2020-04-12,856,0,0,0
2020-04-13,1332,0,0,0
2020-04-14,1224,0,0,0
2020-04-15,1156,0,0,0
2020-04-16,1112,0,0,0
2020-04-17,1000,0,0,0
2020-04-18,766,0,0,0
2020-04-19,656,0,0,0
2020-04-20,1111,0,0,0
2020-04-21,1068,0,0,0
2020-04-22,1096,0,0,0
2020-04-23,936,0,0,0
2020-04-24,913,0,0,0
2020-04-25,557,0,0,0
2020-04-26,472,0,0,0
2020-04-27,1053,0,0,0
2020-04-28,894,0,0,0
2020-04-29,1135,0,0,0
2020-04-30,1126,0,0,0
2020-05-01,1005,0,0,0
2020-05-02,608,0,0,0
2020-05-03,498,0,0,0
2020-05-04,1012,0,0,0
2020-05-05,950,0,0,0
2020-05-06,805,0,0,0
2020-05-07,742,0,0,0
2020-05-08,671,0,0,0
2020-05-09,505,0,0,0
2020-05-10,449,0,0,0
2020-05-11,794,0,0,0
2020-05-12,765,0,0,0
2020-05-13,765,0,0,0
2020-05-14,789,0,0,0
2020-05-15,524,0,0,0
2020-05-16,295,0,0,0
2020-05-17,246,0,0,0
2020-05-18,561,0,0,0
2020-05-19,678,0,0,0
2020-05-20,509,0,0,0
2020-05-21,475,0,0,0
2020-05-22,616,0,0,0
2020-05-23,277,0,0,0
2020-05-24,274,0,0,0
2020-05-25,307,0,0,0
2020-05-26,540,0,0,0
2020-05-27,535,0,0,0
2020-05-28,343,0,0,0
2020-05-29,378,0,0,0
2020-05-30,278,0,0,0
2020-05-31,215,0,0,0
2020-06-01,525,0,0,0
2020-06-02,591,0,0,0
2020-06-03,400,0,0,0
2020-06-04,449,0,0,0
2020-06-05,401,0,0,0
2020-06-06,224,0,0,0
2020-06-07,355,0,0,0
2020-06-08,626,0,0,0
2020-06-09,532,0,0,0
2020-06-10,594,0,0,0
2020-06-11,750,0,0,0
2020-06-12,682,0,0,0
2020-06-13,643,0,0,0
2020-06-14,561,0.0017825311942959,0.00031029588817714694,0.009887287527552437
2020-06-15,829,0,0,0
2020-06-16,743,0,0,0
2020-06-17,655,0,0,0
2020-06-18,710,0,0,0
2020-06-19,740,0,0,0
2020-06-20,422,0,0,0
2020-06-21,483,0,0,0
2020-06-22,566,0,0,0
2020-06-23,621,0,0,0
2020-06-24,706,0,0,0
2020-06-25,566,0,0,0
2020-06-26,469,0,0,0
2020-06-27,375,0,0,0
2020-06-28,276,0,0,0
2020-06-29,593,0,0,0
2020-06-30,582,0,0,0
2020-07-01,623,0,0,0
2020-07-02,746,0,0,0
2020-07-03,519,0,0,0
2020-07-04,326,0,0,0
2020-07-05,296,0,0,0
2020-07-06,667,0,0,0
2020-07-07,715,0,0,0
2020-07-08,812,0,0,0
2020-07-09,756,0,0,0
2020-07-10,566,0,0,0
2020-07-11,377,0,0,0
2020-07-12,312,0,0,0
2020-07-13,715,0,0,0
2020-07-14,734,0,0,0
2020-07-15,933,0,0,0
2020-07-16,713,0,0,0
2020-07-17,700,0,0,0
2020-07-18,581,0,0,0
2020-07-19,438,0,0,0
2020-07-20,688,0,0,0
2020-07-21,785,0,0,0
2020-07-22,645,0,0,0
2020-07-23,828,0,0,0
2020-07-24,669,0,0,0
2020-07-25,469,0,0,0
2020-07-26,324,0,0,0
2020-07-27,829,0,0,0
2020-07-28,688,0,0,0
2020-07-29,690,0,0,0
2020-07-30,621,0,0,0
2020-07-31,583,0,0,0
2020-08-01,535,0,0,0
2020-08-02,443,0,0,0
2020-08-03,910,0,0,0
2020-08-04,760,0,0,0
2020-08-05,603,0,0,0
2020-08-06,708,0,0,0
2020-08-07,580,0,0,0
2020-08-08,403,0,0,0
2020-08-09,448,0,0,0
2020-08-10,804,0,0,0
2020-08-11,764,0,0,0
2020-08-12,690,0,0,0
2020-08-13,778,0,0,0
2020-08-14,712,0,0,0
2020-08-15,411,0,0,0
2020-08-16,368,0,0,0
2020-08-17,867,0,0,0
2020-08-18,796,0,0,0
2020-08-19,771,0,0,0
2020-08-20,940,0,0,0
2020-08-21,770,0,0,0
2020-08-22,362,0,0,0
2020-08-23,356,0,0,0
2020-08-24,679,0,0,0
2020-08-25,725,0,0,0
2020-08-26,982,0,0,0
2020-08-27,906,0,0,0
2020-08-28,753,0,0,0
2020-08-29,535,0,0,0
2020-08-30,646,0,0,0
2020-08-31,1040,0,0,0
2020-09-01,946,0,0,0
2020-09-02,769,0,0,0
2020-09-03,960,0,0,0
2020-09-04,812,0,0,0
2020-09-05,439,0,0,0
2020-09-06,317,0,0,0
2020-09-07,892,0,0,0
2020-09-08,835,0,0,0
2020-09-09,1383,0,0,0
2020-09-10,1669,0,0,0
2020-09-11,893,0,0,0
2020-09-12,385,0,0,0
2020-09-13,363,0,0,0
2020-09-14,838,0,0,0
2020-09-15,839,0,0,0
2020-09-16,1994,0,0,0
2020-09-17,973,0,0,0
2020-09-18,1261,0,0,0
2020-09-19,808,0,0,0
2020-09-20,687,0,0,0
2020-09-21,1480,0,0,0
2020-09-22,1041,0,0,0
2020-09-23,1338,0,0,0
2020-09-24,2607,0,0,0
2020-09-25,1137,0,0,0
2020-09-26,501,0,0,0
2020-09-27,1075,0,0,0
2020-09-28,822,0,0,0
2020-09-29,1271,0,0,0
2020-09-30,1131,0,0,0
2020-10-01,2127,0,0,0
2020-10-02,1448,0,0,0
2020-10-03,1257,0,0,0
2020-10-04,689,0,0,0
2020-10-05,2257,0,0,0
2020-10-06,1989,0,0,0
2020-10-07,2010,0,0,0
2020-10-08,1867,0,0,0
2020-10-09,1551,0,0,0
2020-10-10,827,0,0,0
2020-10-11,1010,0,0,0
2020-10-12,2132,0,0,0
2020-10-13,1567,0,0,0
2020-10-14,1951,0,0,0
2020-10-15,2494,0,0,0
2020-10-16,1512,0,0,0
2020-10-17,1231,0,0,0
2020-10-18,753,0,0,0
2020-10-19,1922,0,0,0
2020-10-20,2141,0,0,0
2020-10-21,2494,0,0,0
2020-10-22,2016,0,0,0
2020-10-23,1501,0.0006662225183211193,0.0001148563475112375,0.0036763185532702573
2020-10-24,1525,0,0,0
2020-10-25,821,0,0,0
2020-10-26,2671,0,0,0
2020-10-27,1763,0,0,0
2020-10-28,1395,0,0,0
2020-10-29,2105,0.0009501187648456057,0.0002543069600836707,0.0033746494613402784
2020-10-30,2179,0,0,0
2020-10-31,1016,0,0,0
2020-11-01,2531,0.0003951007506914263,6.898340668453997e-05,0.0022103615204463445
2020-11-02,3678,0,0,0
2020-11-03,2217,0,0,0
2020-11-04,3287,0.0009126863401277761,0.00030652036388184215,0.0026463952502295517
2020-11-05,2958,0,0,0
2020-11-06,2306,0,0,0
2020-11-07,1754,0,0,0
2020-11-08,2619,0.0007636502481863307,0.0002075389704567763,0.002755086371384609
2020-11-09,2965,0.0003372681281618887,5.878364215590632e-05,0.001883985807355501
2020-11-10,2276,0,0,0
2020-11-11,2602,0,0,0
2020-11-12,3223,0,0,0
2020-11-13,2913,0,0,0
2020-11-14,2660,0,0,0
2020-11-15,1473,0,0,0
2020-11-16,1699,0,0,0
2020-11-17,2102,0,0,0
2020-11-18,2905,0,0,0
2020-11-19,1340,0.0007462686567164179,0.00012700410594219862,0.004064002964014674
2020-11-20,1868,0,0,0
2020-11-21,1483,0,0,0
2020-11-22,1708,0.000585480093676815,0.0001018065706771223,0.003259604503841982
2020-11-23,2178,0,0,0
2020-11-24,1765,0.0005665722379603399,9.688912508759869e-05,0.003102512181137432
2020-11-25,1664,0.0006009615384615385,0.0001039651709610578,0.00332855169782391
2020-11-26,1123,0,0,0
2020-11-27,1572,0,0,0
2020-11-28,908,0,0,0
2020-11-29,821,0,0,0
2020-11-30,2376,0,0,0
2020-12-01,2566,0,0,0
2020-12-02,2212,0,0,0
2020-12-03,1811,0,0,0
2020-12-04,1579,0,0,0
2020-12-05,930,0.002150537634408602,0.0005824232121027703,0.007708182741367662
2020-12-06,1126,0.0008880994671403197,0.00015337877197813018,0.004904977283086045
2020-12-07,2531,0,0,0
2020-12-08,2230,0,0,0
2020-12-09,2223,0,0,0
2020-12-10,4154,0,0,0
2020-12-11,3570,0,0,0
